timestamp,open,high,low,close,volume
2025-05-27,382.6000,387.5490,381.6000,386.8000,23069080
2025-05-23,381.1000,384.8000,379.9000,381.7000,34675832
2025-05-22,379.2000,383.4000,378.4000,381.5000,23353150
2025-05-21,377.2000,380.6000,376.0982,380.6000,17127631
2025-05-20,372.5000,378.8000,370.1000,377.9000,20048820
2025-05-19,365.3000,371.1000,365.0978,371.1000,23277150
2025-05-16,366.1000,369.6000,362.9000,362.9000,42015551
2025-05-15,360.0000,364.6000,357.5600,363.7000,29879900
2025-05-14,364.2000,370.2000,362.6000,368.1000,17353391
2025-05-13,367.3000,370.9000,365.7000,366.5000,11558930
2025-05-12,379.0000,379.9000,366.1000,368.7000,19092551
2025-05-09,379.1000,380.1000,375.2980,377.7000,15241340
2025-05-08,380.6000,382.8000,375.8000,377.2000,16602641
2025-05-07,377.5000,379.2000,374.6000,379.2000,33015859
2025-05-06,374.2000,380.1000,373.8000,376.8000,12905030
2025-05-02,372.8000,377.5000,371.0000,371.0000,40736219
2025-05-01,371.9000,373.1000,368.5000,372.5000,12743230
2025-04-30,366.1000,371.6000,365.5000,370.7000,36491406
